BookingID,NoOfPersons,StartDate,EndDate,BookingDate,CancelDate,PaymentType,Status,Customer_CustomerID,Room_ID,createdAt,createdBy,modifiedAt,modifiedBy
15900076-b31c-4804-a185-e92ed49dfae3,25,2015-12-25,2015-04-17,2015-07-18,2020-12-01,PaymentType-15900076,Status-15900076,26921461-6ae7-48c2-8d6e-327d6570a1e2,29925461-7d10-455c-a5f2-78ea5e0089b7,2015-02-02T00:00:00.000Z,createdBy.9gsks@example.org,2012-03-30T00:00:00.000Z,modifiedBy.9gsks@example.org
15900077-a889-4197-b6b7-f31ed9ac5ed3,99,2015-10-28,2019-12-24,2017-11-05,2023-08-16,PaymentType-15900077,Status-15900077,26921461-6ae7-48c2-8d6e-327d6570a1e2,29925461-7d10-455c-a5f2-78ea5e0089b7,2012-03-10T00:00:00.000Z,createdBy.9gskt@example.com,2018-01-14T00:00:00.000Z,modifiedBy.9gskt@example.com
15900078-e5c2-4a23-8be2-f4ec4180068e,3,2002-11-26,2007-09-19,2002-02-17,2020-04-08,PaymentType-15900078,Status-15900078,26921461-6ae7-48c2-8d6e-327d6570a1e2,29925461-7d10-455c-a5f2-78ea5e0089b7,2014-01-23T00:00:00.000Z,createdBy.9gsku@example.net,2000-04-24T00:00:00.000Z,modifiedBy.9gsku@example.com
15900079-1e2f-4b15-a2b7-7dfa83f9d17c,55,2012-03-31,2019-03-31,2007-01-03,2019-04-02,PaymentType-15900079,Status-15900079,26921461-6ae7-48c2-8d6e-327d6570a1e2,29925461-7d10-455c-a5f2-78ea5e0089b7,2015-07-05T00:00:00.000Z,createdBy.9gskv@example.com,2000-09-26T00:00:00.000Z,modifiedBy.9gskv@example.org
15900080-3963-4b08-9bd2-d328919624b3,26,2019-07-27,2018-04-30,2000-10-01,2012-09-05,PaymentType-15900080,Status-15900080,26921461-6ae7-48c2-8d6e-327d6570a1e2,29925461-7d10-455c-a5f2-78ea5e0089b7,2015-02-23T00:00:00.000Z,createdBy.9gskw@example.com,2018-10-08T00:00:00.000Z,modifiedBy.9gskw@example.com
15900081-f3f1-440c-87a9-d2f1203beb4e,34,2005-09-15,2020-01-20,2001-12-07,2014-02-13,PaymentType-15900081,Status-15900081,26921461-6ae7-48c2-8d6e-327d6570a1e2,29925461-7d10-455c-a5f2-78ea5e0089b7,2022-12-24T00:00:00.000Z,createdBy.9gskx@example.org,2009-10-05T00:00:00.000Z,modifiedBy.9gskx@example.net
15900082-8407-4dbd-8ead-35bcf5ace964,11,2016-03-28,2020-05-27,2023-05-12,2016-03-31,PaymentType-15900082,Status-15900082,26921461-6ae7-48c2-8d6e-327d6570a1e2,29925461-7d10-455c-a5f2-78ea5e0089b7,2011-01-16T00:00:00.000Z,createdBy.9gsky@example.net,2009-11-10T00:00:00.000Z,modifiedBy.9gsky@example.net
15900083-06a6-44c5-9ce4-8784ee60bb40,95,2002-10-05,2004-12-15,2014-04-01,2014-09-14,PaymentType-15900083,Status-15900083,26921461-6ae7-48c2-8d6e-327d6570a1e2,29925461-7d10-455c-a5f2-78ea5e0089b7,2004-11-10T00:00:00.000Z,createdBy.9gskz@example.net,2020-03-23T00:00:00.000Z,modifiedBy.9gskz@example.net
15900084-e530-412c-8225-bed53318eb6c,79,2017-02-11,2001-10-03,2019-05-07,2007-04-30,PaymentType-15900084,Status-15900084,26921461-6ae7-48c2-8d6e-327d6570a1e2,29925461-7d10-455c-a5f2-78ea5e0089b7,2018-05-26T00:00:00.000Z,createdBy.9gsl0@example.org,2019-03-01T00:00:00.000Z,modifiedBy.9gsl0@example.net
15900085-1cf7-45e9-833a-ad55437c8ca7,38,2018-12-14,2022-07-06,2022-05-01,2016-05-28,PaymentType-15900085,Status-15900085,26921461-6ae7-48c2-8d6e-327d6570a1e2,29925461-7d10-455c-a5f2-78ea5e0089b7,2003-06-15T00:00:00.000Z,createdBy.9gsl1@example.org,2021-02-22T00:00:00.000Z,modifiedBy.9gsl1@example.net